country,year,emissions
Sierra Leone,1954.0,0.062310808
Slovak Republic,1954.0,6.379997791
Solomon Islands,1954.0,0.032541394
Somalia,1954.0,0.019316882
South Africa,1954.0,4.924215515
Spain,1954.0,1.378045794
Sri Lanka,1954.0,0.202835509
Sudan,1954.0,0.102414622
Suriname,1954.0,1.388197305
Swaziland,1954.0,0.012243117
Sweden,1954.0,4.782495421
Switzerland,1954.0,2.566655248
Syria,1954.0,0.152822472
Taiwan,1954.0,0.708915575
Tanzania,1954.0,0.063387737
Thailand,1954.0,0.089524322
Togo,1954.0,0.022561711
Tonga,1954.0,0.135411281
Trinidad and Tobago,1954.0,4.071648386
Tunisia,1954.0,0.371218639
Turkey,1954.0,0.562914576
Uganda,1954.0,0.038278078
United Kingdom,1954.0,10.84717059
United States,1954.0,14.77742743
Uruguay,1954.0,1.597269438
Venezuela,1954.0,8.578945947
Afghanistan,1955.0,0.017436095
Albania,1955.0,0.481267316
Algeria,1955.0,0.474798324
Angola,1955.0,0.091232324
Argentina,1955.0,2.091637931
Australia,1955.0,7.680857183
Austria,1955.0,4.19037119
Bahamas,1955.0,1.448195962
Bahrain,1955.0,10.53347435
Bangladesh,1955.0,0.031772061
Barbados,1955.0,0.565347571
Belgium,1955.0,10.38746579
Belize,1955.0,0.367084225
Bermuda,1955.0,2.706892733
Bolivia,1955.0,0.309653074
Brazil,1955.0,0.541664673
Brunei,1955.0,4.75783566
Bulgaria,1955.0,1.61403549
Cambodia,1955.0,0.021212564
Cameroon,1955.0,0.047885997
Canada,1955.0,10.77864743
Cape Verde,1955.0,0.113015247
Chile,1955.0,1.71532661
China,1955.0,0.314007768
Colombia,1955.0,0.864852807
"Congo, Dem. Rep.",1955.0,0.24974987
Costa Rica,1955.0,0.308421713
Cuba,1955.0,1.03809884
Cyprus,1955.0,0.850957846
Denmark,1955.0,6.102665016
Djibouti,1955.0,0.522480929
Dominica,1955.0,0.067207997
Ecuador,1955.0,0.310476336
Egypt,1955.0,0.436132379
El Salvador,1955.0,0.190024847
Equatorial Guinea,1955.0,0.154270992
Ethiopia,1955.0,0.011199975
Faeroe Islands,1955.0,3.105492644
Fiji,1955.0,0.514483148
Finland,1955.0,2.582682763
France,1955.0,5.50719098
French Guiana,1955.0,0.513772609
French Polynesia,1955.0,0.634060582
