Data Source,State,Technology,Year,Generation (MWh)
Historical,MN,water,2010,840506
Historical,MN,water,2012,575433
Historical,MN,water,2014,353881
Historical,MN,wind,2010,4816520
Historical,MN,wind,2012,7615422
Historical,MN,wind,2014,7871611
Historical,MO,bio,2010,159693
Historical,MO,bio,2012,161509
Historical,MO,bio,2014,180079
Historical,MO,coal,2010,75214223
Historical,MO,coal,2012,72951444
Historical,MO,coal,2014,72409517
Historical,MO,gas,2010,4575729
Historical,MO,gas,2012,6013162
Historical,MO,gas,2014,3587370
Historical,MO,nuclear,2010,8996033
Historical,MO,nuclear,2012,10718329
Historical,MO,nuclear,2014,9276356
Historical,MO,oil,2010,13863
Historical,MO,oil,2012,4823
Historical,MO,oil,2014,3407
Historical,MO,other,2010,0
Historical,MO,other,2012,0
Historical,MO,other,2014,0
Historical,MO,solar,2010,0
Historical,MO,solar,2012,0
Historical,MO,solar,2014,612
Historical,MO,water,2010,3094490
Historical,MO,water,2012,1116797
Historical,MO,water,2014,1178022
Historical,MO,wind,2010,925490
Historical,MO,wind,2012,1244778
Historical,MO,wind,2014,1120917
Historical,MS,bio,2010,1645137
Historical,MS,bio,2012,1665403
Historical,MS,bio,2014,1424166
Historical,MS,coal,2010,10660418
Historical,MS,coal,2012,5593005
Historical,MS,coal,2014,6839892
Historical,MS,gas,2010,32536837
Historical,MS,gas,2012,40028594
Historical,MS,gas,2014,35970612
Historical,MS,nuclear,2010,9643241
Historical,MS,nuclear,2012,7296134
Historical,MS,nuclear,2014,10151268
Historical,MS,oil,2010,1114
Historical,MS,oil,2012,1120
Historical,MS,oil,2014,170
Historical,MS,other,2010,513
Historical,MS,other,2012,0
Historical,MS,other,2014,0
Historical,MS,solar,2010,0
Historical,MS,solar,2012,0
Historical,MS,solar,2014,0
Historical,MT,bio,2010,0
Historical,MT,bio,2012,0
Historical,MT,bio,2014,0
Historical,MT,coal,2010,19010627
Historical,MT,coal,2012,14456057
Historical,MT,coal,2014,14424732
Historical,MT,gas,2010,51278
Historical,MT,gas,2012,462320
Historical,MT,gas,2014,413250
Historical,MT,oil,2010,2
Historical,MT,oil,2012,0
Historical,MT,oil,2014,0
Historical,MT,other,2010,142536
Historical,MT,other,2012,165348
Historical,MT,other,2014,133241
Historical,MT,water,2010,9414660
Historical,MT,water,2012,11280968
Historical,MT,water,2014,10679069
Historical,MT,wind,2010,930233
Historical,MT,wind,2012,1275700
Historical,MT,wind,2014,1816931
Historical,NC,bio,2010,2275538
Historical,NC,bio,2012,2868790
Historical,NC,bio,2014,1316884
Historical,NC,coal,2010,72005776
Historical,NC,coal,2012,50977176
Historical,NC,coal,2014,48217385
Historical,NC,gas,2010,8496951
Historical,NC,gas,2012,19531428
Historical,NC,gas,2014,28937784
Historical,NC,nuclear,2010,40739529
Historical,NC,nuclear,2012,39385592
Historical,NC,nuclear,2014,40967020
Historical,NC,oil,2010,13349
Historical,NC,oil,2012,5870
Historical,NC,oil,2014,2802
Historical,NC,other,2010,379061
Historical,NC,other,2012,311034
Historical,NC,other,2014,0
Historical,NC,solar,2010,11259
Historical,NC,solar,2012,111449
Historical,NC,solar,2014,0
Historical,NC,water,2010,5158680
Historical,NC,water,2012,4046675
Historical,NC,water,2014,4256906
Historical,NC,wind,2010,0
Historical,NC,wind,2012,0
Historical,NC,wind,2014,0
Historical,ND,bio,2010,12386
Historical,ND,bio,2012,5543
Historical,ND,bio,2014,0
Historical,ND,coal,2010,28497696
Historical,ND,coal,2012,28246269
Historical,ND,coal,2014,26055107
Historical,ND,gas,2010,-3
Historical,ND,gas,2012,0
Historical,ND,gas,2014,28057
Historical,ND,oil,2010,273
Historical,ND,oil,2012,1502
Historical,ND,oil,2014,1073
Historical,ND,other,2010,232088
Historical,ND,other,2012,296237
Historical,ND,other,2014,131573
Historical,ND,water,2010,2042118
Historical,ND,water,2012,2477230
Historical,ND,water,2014,2531360
Historical,ND,wind,2010,4065895
Historical,ND,wind,2012,5274507
Historical,ND,wind,2014,6191540
Historical,NE,bio,2010,71923
Historical,NE,bio,2012,63842
Historical,NE,bio,2014,35
Historical,NE,coal,2010,23458975
Historical,NE,coal,2012,25104274
Historical,NE,coal,2014,24169115
Historical,NE,gas,2010,307471
Historical,NE,gas,2012,702338
Historical,NE,gas,2014,333662
Historical,NE,nuclear,2010,11054337
Historical,NE,nuclear,2012,5801578
Historical,NE,nuclear,2014,10101838
Historical,NE,oil,2010,1788
Historical,NE,oil,2012,4593
Historical,NE,oil,2014,1683
Historical,NE,water,2010,1313857
Historical,NE,water,2012,1257052
Historical,NE,water,2014,0
Historical,NE,wind,2010,421644
Historical,NE,wind,2012,1267150
Historical,NE,wind,2014,2693188
Historical,NH,bio,2010,871366
Historical,NH,bio,2012,908157
Historical,NH,bio,2014,285335
Historical,NH,coal,2010,3429414
Historical,NH,coal,2012,1619242
Historical,NH,coal,2014,1650242
Historical,NH,gas,2010,5189872
Historical,NH,gas,2012,6975657
Historical,NH,gas,2014,4473941
Historical,NH,nuclear,2010,10910055
Historical,NH,nuclear,2012,8189181
Historical,NH,nuclear,2014,10168265
Historical,NH,oil,2010,241935
Historical,NH,oil,2012,74113
Historical,NH,oil,2014,133879
Historical,NH,other,2010,0
Historical,NH,other,2012,0
Historical,NH,other,2014,0
Historical,NH,water,2010,1477578
Historical,NH,water,2012,1289392
Historical,NH,water,2014,936003
Historical,NH,wind,2010,75688
Historical,NH,wind,2012,208699
Historical,NH,wind,2014,344939
Historical,NJ,bio,2010,1296140
Historical,NJ,bio,2012,1485835
Historical,NJ,bio,2014,775886
Historical,NJ,coal,2010,6649627
Historical,NJ,coal,2012,2609115
Historical,NJ,coal,2014,3535785
Historical,NJ,gas,2010,24991643
Historical,NJ,gas,2012,27783868
Historical,NJ,gas,2014,27671946
Historical,NJ,nuclear,2010,32771305
Historical,NJ,nuclear,2012,33110224
Historical,NJ,nuclear,2014,31507121
Historical,NJ,oil,2010,20160
Historical,NJ,oil,2012,8844
Historical,NJ,oil,2014,3179
Historical,NJ,other,2010,95428
Historical,NJ,other,2012,107417
Historical,NJ,other,2014,0
Historical,NJ,solar,2010,20276
Historical,NJ,solar,2012,273475
Historical,NJ,solar,2014,0
Historical,NJ,water,2010,534018
Historical,NJ,water,2012,454099
Historical,NJ,water,2014,628044
Historical,NJ,wind,2010,12655
Historical,NJ,wind,2012,11568
Historical,NJ,wind,2014,0
Historical,NM,bio,2010,24050
Historical,NM,bio,2012,28692
Historical,NM,bio,2014,0
Historical,NM,coal,2010,25710499
Historical,NM,coal,2012,25095372
Historical,NM,coal,2014,20479041
Historical,NM,gas,2010,8458335
Historical,NM,gas,2012,8729439
Historical,NM,gas,2014,7930353
Historical,NM,geo,2010,0
Historical,NM,geo,2012,0
Historical,NM,geo,2014,0
Historical,NM,oil,2010,535
Historical,NM,oil,2012,1
Historical,NM,oil,2014,706
Historical,NM,other,2010,0
Historical,NM,other,2012,0
Historical,NM,other,2014,0
Historical,NM,solar,2010,8930
Historical,NM,solar,2012,333796
Historical,NM,solar,2014,149720
Historical,NM,water,2010,217006
Historical,NM,water,2012,222821
Historical,NM,water,2014,0
Historical,NM,wind,2010,1832180
Historical,NM,wind,2012,2225788
Historical,NM,wind,2014,2194918
Historical,NV,bio,2010,0
Historical,NV,bio,2012,18960
Historical,NV,bio,2014,0
Historical,NV,coal,2010,7019573
Historical,NV,coal,2012,4133662
Historical,NV,coal,2014,6581147
Historical,NV,gas,2010,23683655
Historical,NV,gas,2012,25629849
Historical,NV,gas,2014,21206150
Historical,NV,geo,2010,2069724
Historical,NV,geo,2012,2339098
Historical,NV,geo,2014,1425014
Historical,NV,oil,2010,-1892
Historical,NV,oil,2012,-680
Historical,NV,oil,2014,0
Historical,NV,solar,2010,218393
Historical,NV,solar,2012,453128
Historical,NV,solar,2014,805917
Historical,NV,water,2010,2157296
Historical,NV,water,2012,2440415
Historical,NV,water,2014,2352308
Historical,NV,wind,2010,0
Historical,NV,wind,2012,128788
Historical,NV,wind,2014,300134
Historical,NY,bio,2010,3056487
Historical,NY,bio,2012,3044617
Historical,NY,bio,2014,1602248
Historical,NY,coal,2010,12368136
Historical,NY,coal,2012,4267191
Historical,NY,coal,2014,4627063
Historical,NY,gas,2010,48668530
Historical,NY,gas,2012,57866074
Historical,NY,gas,2014,47749543
Historical,NY,nuclear,2010,41869535
Historical,NY,nuclear,2012,40774560
Historical,NY,nuclear,2014,43038624
Historical,NY,oil,2010,3598799
Historical,NY,oil,2012,2680834
Historical,NY,oil,2014,2103940
Historical,NY,other,2010,0
Historical,NY,other,2012,0
Historical,NY,other,2014,0
Historical,NY,solar,2010,0
Historical,NY,solar,2012,52713
Historical,NY,solar,2014,50822
Historical,NY,water,2010,26326984
Historical,NY,water,2012,25305473
Historical,NY,water,2014,22223957
Historical,NY,wind,2010,2544992
Historical,NY,wind,2012,2974613
Historical,NY,wind,2014,3925484
Historical,OH,bio,2010,922789
Historical,OH,bio,2012,974627
Historical,OH,bio,2014,462424
Historical,OH,coal,2010,118523307
Historical,OH,coal,2012,86573215
Historical,OH,coal,2014,90516391
Historical,OH,gas,2010,7243247
Historical,OH,gas,2012,22665307
Historical,OH,gas,2014,23149114
Historical,OH,nuclear,2010,15804803
Historical,OH,nuclear,2012,17086998
Historical,OH,nuclear,2014,16284440
Historical,OH,oil,2010,47
Historical,OH,oil,2012,6150
Historical,OH,oil,2014,5446
Historical,OH,other,2010,649629
Historical,OH,other,2012,1003156
Historical,OH,other,2014,0
Historical,OH,solar,2010,11920
Historical,OH,solar,2012,32324
Historical,OH,solar,2014,1354
Historical,OH,water,2010,429022
Historical,OH,water,2012,414163
Historical,OH,water,2014,455062
Historical,OH,wind,2010,12576
Historical,OH,wind,2012,985487
Historical,OH,wind,2014,1094196
Historical,OK,bio,2010,455989
Historical,OK,bio,2012,449162
Historical,OK,bio,2014,0
Historical,OK,coal,2010,32888054
Historical,OK,coal,2012,30556236
Historical,OK,coal,2014,29968788
Historical,OK,gas,2010,32442952
Historical,OK,gas,2012,37701604
Historical,OK,gas,2014,25911557
Historical,OK,oil,2010,-271
Historical,OK,oil,2012,1457
Historical,OK,oil,2014,0
Historical,OK,solar,2010,0
Historical,OK,solar,2012,0
Historical,OK,solar,2014,0
Historical,OK,water,2010,3042220
Historical,OK,water,2012,1296082
Historical,OK,water,2014,1053425
Historical,OK,wind,2010,3808081
Historical,OK,wind,2012,8020368
Historical,OK,wind,2014,11688368
Historical,OR,bio,2010,1002918
Historical,OR,bio,2012,1014898
Historical,OR,bio,2014,396596
Historical,OR,coal,2010,4129756
Historical,OR,coal,2012,2640259
Historical,OR,coal,2014,3202307
Historical,OR,gas,2010,15532059
Historical,OR,gas,2012,11446298
Historical,OR,gas,2014,12517859
Historical,OR,geo,2010,0
Historical,OR,geo,2012,16241
Historical,OR,geo,2014,183467
Historical,OR,oil,2010,1586
Historical,OR,oil,2012,712
Historical,OR,oil,2014,813
Historical,OR,other,2010,0
Historical,OR,other,2012,0
Historical,OR,other,2014,0
Historical,OR,solar,2010,0
Historical,OR,solar,2012,6412
Historical,OR,solar,2014,4307
Historical,OR,water,2010,24975976
Historical,OR,water,2012,31642575
Historical,OR,water,2014,25720588
